"Player Code",Name,Country,Active,Provisional,"First Game","Last Game",Highest,Rating,GP,Won,"GP Att","Attack Wins","GP Def","Def Wins","GP Axis","Axis Wins","GP Allies","Allies Wins","Cur Streak","Longest Strk","Max. Decay","Decay to date"
HNW,"William HANSON",Denmark,0,0,2001-02-01,2010-02-28,1558.6,1271.1,43,19,5,1,2,1,4,1,3,1,0,3,224,224
REA,"Alexandre ROUSSE-LACORDAIRE",France,1,0,2001-02-01,2024-05-18,1571.9,1309.2,139,53,24,10,30,11,23,6,41,17,0,6,0,33
KNM,"Martin KRISTENSEN",Denmark,0,0,2001-02-01,2021-11-21,1571.6,1340.8,131,53,29,13,27,11,21,11,25,10,0,6,0,36
NNK,"Kent NILSSON",Sweden,0,1,2001-02-01,2001-02-04,1500,1193.5,6,1,0,0,0,0,0,0,0,0,1,1,210,210
SNL,"Lars-Petter SIMONSEN",Denmark,0,0,2001-02-01,2007-02-23,1500,1284.5,19,8,0,0,0,0,0,0,0,0,1,2,220,220
MISSING-23,Missing-23,,0,1,2001-02-01,2001-02-04,1549.1,1316.7,6,4,0,0,0,0,0,0,0,0,2,2,232,232
FEM,"Max FAYE-WEVLE",Sweden,0,1,2001-02-01,2001-02-01,1500,1253.5,3,1,0,0,0,0,0,0,0,0,0,1,221,221
GNJ,"Johannes GUSTAFSSON",Sweden,0,1,2001-02-01,2001-02-01,1500,1208.1,3,0,0,0,0,0,0,0,0,0,0,0,213,213
HHM,"Michael HASTRUP-LETH",Denmark,1,0,2001-02-01,2024-03-01,1957,1949.5,228,168,66,50,52,39,46,32,55,42,7,20,0,0
BHS,"Stephen BURLEIGH",Sweden,1,0,2001-02-01,2023-11-19,1500,1448.7,61,24,14,5,13,7,14,8,6,3,2,4,0,87
DHO,"Olivier DIETSCH",France,1,0,2001-02-01,2024-05-18,1683.7,1608.8,157,83,42,16,38,21,51,26,34,13,1,6,0,0
